time,y
0,500.001
0.1,500.1
0.2,499.667
0.3,499.113
0.4,498.988
0.5,498.278
0.6,498.264
0.7,498.267
0.8,496.615
0.9,495.717
1,495.34
1.1,494.243
1.2,492.99
1.3,491.245
1.4,490.372
1.5,489.311
1.6,486.771
1.7,485.596
1.8,483.157
1.9,481.648
2,479.459
2.1,478.251
2.2,475.626
2.3,474.188
2.4,471.826
2.5,469.25
2.6,465.584
2.7,463.973
2.8,461.521
2.9,458.806
3,455.09
3.1,452.624
3.2,449.284
3.3,446.18
3.4,443.829
3.5,439.51
3.6,436.415
3.7,433.293
3.8,428.88
3.9,425.339
4,421.575
4.1,417.579
4.2,412.863
4.3,409.345
4.4,405.719
4.5,399.9
4.6,396.64
4.7,391.708
4.8,386.668
4.9,383.231
5,377.756
5.1,371.821
5.2,367.406
5.3,362.507
5.4,356.876
5.5,351.965
5.6,346.146
5.7,340.97
5.8,335.715
5.9,328.919
6,323.522
6.1,317.253
6.2,311.515
6.3,304.727
6.4,298.802
6.5,292.666
6.6,286.788
6.7,280.387
6.8,272.531
6.9,266.076
7,259.978
7.1,251.743
7.2,245.493
7.3,238.564
7.4,232.031
7.5,224.438
7.6,216.524
7.7,208.998
7.8,201.455
7.9,194.641
