time	x	y
0	-0.128	0.025
0.1	1.479	2.816
0.2	3.245	6.186
0.3	4.669	9.316
0.4	6.207	12.791
0.5	7.488	15.551
0.6	9.366	18.405
0.7	10.774	21.748
0.8	12.784	23.921
0.9	14.145	26.675
1	15.444	28.844
1.1	17.137	32.342
1.2	18.304	34.517
1.3	20.173	36.723
1.4	21.287	38.726
1.5	22.875	40.484
1.6	23.7	42.281
1.7	25.556	43.74
1.8	26.285	45.18
1.9	27.494	46.505
2	29.298	48.006
2.1	30.375	48.596
2.2	31.92	49.097
2.3	33.739	49.432
2.4	33.978	49.711
2.5	35.168	50.481
2.6	36.51	50.053
2.7	37.653	49.626
2.8	38.473	49.011
2.9	39.446	48.096
3	40.662	47.533
3.1	41.51	46.751
3.2	41.906	45.124
3.3	43.013	43.747
3.4	43.826	42.15
3.5	44.234	40.484
3.6	45.319	38.048
3.7	45.63	36.378
3.8	46.78	33.971
3.9	47.102	32.137
4	47.58	29.158
4.1	47.837	26.964
4.2	48.394	24.545
4.3	48.197	21.195
4.4	48.775	18.226
4.5	49.493	15.508
4.6	48.967	12.434
4.7	50.032	9.071
4.8	49.378	6.405
4.9	50.202	3.744
5	49.746	-0.077
5.1	50.209	-3.2
5.2	49.941	-6.58
5.3	49.317	-9.273
5.4	49.98	-12.809
5.5	49.817	-15.783
5.6	49.095	-18.022
5.7	48.714	-21.561
5.8	48.381	-23.763
5.9	47.722	-26.334
6	47.882	-29.311
6.1	46.881	-31.705
6.2	46.473	-33.642
6.3	45.65	-36.507
6.4	45.054	-38.704
6.5	44.167	-40.857
6.6	44.192	-42.204
6.7	42.991	-43.372
6.8	42.506	-44.953
6.9	41.358	-46.771
7	40.243	-47.809
7.1	39.41	-48.58
7.2	38.358	-49.027
7.3	37.508	-49.667
7.4	36.336	-49.837
7.5	35.265	-49.911
7.6	33.814	-49.991
7.7	32.824	-49.618
7.8	32.367	-49.052
7.9	30.444	-48.454
8	29.073	-47.402
8.1	28.205	-45.928
8.2	27.214	-45.064
8.3	25.016	-43.799
8.4	24.025	-42.722
8.5	22.51	-40.334
8.6	20.761	-39.11
8.7	20.078	-36.871
8.8	18.399	-33.971
8.9	16.958	-31.659
9	15.225	-29.434
9.1	14.086	-27.304
9.2	12.273	-24.199
9.3	10.864	-21.493
9.4	9.037	-18.215
9.5	7.457	-14.774
9.6	6.667	-12.369
9.7	4.553	-9.603
9.8	3.227	-6.618
9.9	1.56	-3.156
10	-0.132	-0.053
10.1	-1.723	2.794
10.2	-2.951	6.302
10.3	-4.796	9.024
10.4	-6.312	12.768
10.5	-7.815	15.77
10.6	-9.016	18.732
10.7	-10.703	21.147
10.8	-12.32	24.242
10.9	-14.119	26.752
11	-15.865	29.273
11.1	-16.652	31.769
11.2	-18.116	33.837
11.3	-19.9	36.015
11.4	-21.126	38.764
11.5	-22.465	40.393
11.6	-23.838	42.281
11.7	-25.176	44.116
11.8	-26.928	44.721
11.9	-27.65	46.254
12	-29.763	47.605
12.1	-30.387	48.547
12.2	-31.723	49.001
12.3	-32.804	49.914
12.4	-33.664	49.964
12.5	-34.91	49.636
12.6	-36.792	49.622
12.7	-38.012	49.847
12.8	-38.281	49.254
12.9	-39.812	47.859
13	-40.455	47.957
13.1	-41.102	46.668
13.2	-42.71	45.644
13.3	-43.67	43.7
13.4	-43.738	42.128
13.5	-44.537	40.113
13.6	-45.315	39.287
13.7	-45.876	36.396
13.8	-46.747	34.704
13.9	-47.498	31.677
14	-47.603	29.438
14.1	-48.306	26.29
14.2	-48.922	23.973
14.3	-48.644	21.584
14.4	-49.133	18.031
14.5	-49.262	15.773
14.6	-49.903	12.536
14.7	-49.976	9.056
14.8	-50.201	6.116
14.9	-50.241	3.002
15	-49.941	-0.015
15.1	-50.21	-3.3
15.2	-49.795	-6.515
15.3	-49.676	-9.46
15.4	-48.998	-12.743
15.5	-49.802	-15.838
15.6	-48.848	-18.421
15.7	-48.823	-21.024
15.8	-48.433	-24.546
15.9	-48.45	-26.79
16	-47.691	-29.584
16.1	-46.821	-32.164
16.2	-46.514	-33.971
16.3	-45.863	-36.604
16.4	-45.329	-38.076
16.5	-44.204	-40.685
16.6	-43.822	-42.1
16.7	-43.697	-43.884
16.8	-42.424	-45.468
16.9	-41.945	-46.313
17	-41.426	-47.599
17.1	-39.667	-48.248
17.2	-38.126	-49.129
17.3	-37.491	-49.931
17.4	-36.8	-49.932
17.5	-35.638	-49.984
17.6	-33.888	-49.614
17.7	-33.018	-49.878
17.8	-31.857	-49.126
17.9	-30.661	-48.946
18	-29.378	-47.357
18.1	-27.863	-46.813
18.2	-26.626	-45.783
18.3	-25.387	-43.833
18.4	-24.401	-41.885
18.5	-22.546	-40.908
18.6	-21.494	-38.852
18.7	-19.529	-36.671
18.8	-18.788	-34.566
18.9	-16.978	-31.757
19	-15.453	-29.631
19.1	-14.347	-27.008
19.2	-11.918	-23.913
19.3	-10.469	-21.516
19.4	-9.508	-18.276
19.5	-7.59	-15.742
19.6	-6.153	-12.798
19.7	-5.489	-9.92
19.8	-3.064	-5.708
19.9	-1.589	-3.236
